title,bookurl 
小程序大时代 : 小程序运营的必备指南,https://book.douban.com/subject/30425278/
支付宝小程序开发实战,https://book.douban.com/subject/30379614/
小程序，巧应用 : 微信小程序开发实战,https://book.douban.com/subject/26952144/
小程序电商：运营＋推广＋案例实操,https://book.douban.com/subject/30853901/
小程序时代,https://book.douban.com/subject/26990334/
微信小程序开发入门与实践 : 微信小程序开发,https://book.douban.com/subject/27661869/
小程序实战视频课：微信小程序开发全案精讲,https://book.douban.com/subject/27615752/
小程序从0到1 : 微信全栈工程师一本通,https://book.douban.com/subject/27616937/
小程序改变一切,https://book.douban.com/subject/30401183/
小程序大能量 : 一本书学会小程序的开发和运营,https://book.douban.com/subject/30382398/
小程序，大未来：微信小程序开发,https://book.douban.com/subject/30561108/
小程序，巧应用（第二版） : 微信小程序开发实战,https://book.douban.com/subject/30267963/
掘金小程序：5G时代小程序开发、营销、运营一本通,https://book.douban.com/subject/34647833/
小程序这样运营才赚钱,https://book.douban.com/subject/30752478/
小程序电商：自媒体快速变现新风口,https://book.douban.com/subject/31234098/
title,bookurl 
小程序电商运营宝典：平台电商、社交电商全新变现之道,https://book.douban.com/subject/33376349/
微信公众号、小程序、朋友圈运营完全操作手册,https://book.douban.com/subject/34440820/
微信小程序入门指南,https://book.douban.com/subject/27060677/
微信小程序运营实战(商业机会营销变革与行业案例),https://book.douban.com/subject/27071810/
微信小程序 : 产品、运营、推广实战,https://book.douban.com/subject/30116001/
微信小程序开发详解,https://book.douban.com/subject/27188709/
微信小程序(开发入门及案例详解),https://book.douban.com/subject/27018906/
微信小程序 : 分享微信创业2.0时代千亿红利,https://book.douban.com/subject/26990330/
从零开始学微信小程序开发,https://book.douban.com/subject/26976994/
微信开发深度解析 : 微信公众号、小程序高效开发秘籍,https://book.douban.com/subject/27091060/
Java 小程序设计从入门到精通,https://book.douban.com/subject/1026699/
微信小程序开发零基础入门,https://book.douban.com/subject/27055746/
微信小程序快速开发 : 视频指导版,https://book.douban.com/subject/27060640/
微信公众平台与小程序开发 : 从零搭建整套系统,https://book.douban.com/subject/27079586/
微信小程序(第二拨微信红利),https://book.douban.com/subject/27112216/
title,bookurl 
微信小程序项目开发实战——用WePY、mpvue、Taro打造高效的小程序,https://book.douban.com/subject/34430708/
新媒体美工设计全攻略 : 小程序+公众号+朋友圈+H5界面+微商+微博+直播,https://book.douban.com/subject/30333813/
微信小程序开发快速入门,https://book.douban.com/subject/27044447/
实战微信小程序 : JavaScript、WXML与Flexbox综合开发,https://book.douban.com/subject/27071887/
微信小程序开发实战,https://book.douban.com/subject/27128904/
微信小程序实战入门 第2版,https://book.douban.com/subject/30479829/
微信小程序实战入门 : 内含完整实例解析,https://book.douban.com/subject/30394348/
应用生态(教你打造微信小程序爆款),https://book.douban.com/subject/27138040/
微信小程序开发必备100Tip,https://book.douban.com/subject/27170702/
微信小程序开发实战,https://book.douban.com/subject/33389948/
微信小程序开发入门精要,https://book.douban.com/subject/27051879/
微信小程序运营与推广完全自学手册,https://book.douban.com/subject/30245162/
势不可当(微信小程序智慧零售),https://book.douban.com/subject/30316057/
微信小程序营销与运营实战从入门到精通,https://book.douban.com/subject/30316121/
21天精通微信小程序开发,https://book.douban.com/subject/30487829/
title,bookurl 
造个小程序(与微信一起干件正经事儿),https://book.douban.com/subject/30357441/
微信小程序项目实战/企业级卓越人才培养解决方案“十三五”规划教材,https://book.douban.com/subject/30540829/
微信小程序策划与运营,https://book.douban.com/subject/30285935/
微信小程序营销实战108招：小应用大效果,https://book.douban.com/subject/30300388/
微信小程序营销攻略 : 精准引流·场景转化·运营推广,https://book.douban.com/subject/30304088/
微信小程序电商：新零售商业下的场景和社交营销,https://book.douban.com/subject/30652173/
微信小程序开发零基础入门,https://book.douban.com/subject/30627258/
微信小程序开发与运营,https://book.douban.com/subject/30743368/
微信小程序应用开发/云计算技术与应用专业校企合作系列教材,https://book.douban.com/subject/30701885/
微信小程序开发图解案例教程（附精讲视频）,https://book.douban.com/subject/30704231/
微信小程序开发基础,https://book.douban.com/subject/30902535/
微信小程序开发与运营,https://book.douban.com/subject/31130243/
微信小程序：设计发布+营销运营+成交转化+应用案例,https://book.douban.com/subject/30766312/
微信小程序入门,https://book.douban.com/subject/30814794/
微信小程序开发图解案例教程 附精讲视频 第2版 : 附精讲视频,https://book.douban.com/subject/30761652/
title,bookurl 
APP和小程序营销与运营实战从入门到精通,https://book.douban.com/subject/30829449/
微信小程序商城开发实战,https://book.douban.com/subject/33446098/
微信公众平台与小程序开发,https://book.douban.com/subject/34786685/
微信小程序营销与运营实战,https://book.douban.com/subject/34786670/
微信小程序商城开发：界面设计实战,https://book.douban.com/subject/34798022/
Flash MX 2004 ActionScript 2.0与RIA应用程序开发,https://book.douban.com/subject/1278317/
书从何处来-程序类说明文|小作家文库.高中素质教育专题作文,https://book.douban.com/subject/1017970/
文科生学编程,https://read.douban.com/column/8563438/?dcs=book-search
title,bookurl 
title,bookurl 
title,bookurl 
title,bookurl 
title,bookurl 
